"";"ID";"Day";"SHAPE";"FIR";"ROI_Entry";"ROI_Exit";"error";"H0_Count";"Strategy";"Latency"
"...1";"C4A1";"D1";"H0";645;8845;9575;35;3;"Serial";294,833333333333
"...2";"C4A2";"D1";"H0";278;4545;4840;27;7;"Serial";151,5
"...3";"C4A3";"D1";"H0";1719;10880;12601;23;1;"Serial";362,666666666667
"...4";"C9A1";"D1";"H0";940;3684;4680;20;7;"Serial";122,8
"...5";"C9A2";"D1";"H0";131;15067;15198;67;2;"Mixed";502,233333333333
"...6";"C9A3";"D1";"H0";268;519;787;1;5;"Direct";17,3
"NA...7";"C3A1";"D2";NA;NA;NA;NA;NA;0;"none";NA
"...8";"C3A2";"D2";"H0";1946;2467;4620;2;3;"Serial";82,2333333333333
"...9";"C3A3";"D2";"H0";1345;11629;14734;7;1;"Mixed";387,633333333333
"...10";"C3A4";"D2";"H0";332;6451;6840;4;3;"Mixed";215,033333333333
"...11";"C4A1";"D2";"H0";759;3581;4518;6;3;"Serial";119,366666666667
"...12";"C4A2";"D2";"H0";409;2772;3262;4;7;"Serial";92,4
"...13";"C4A3";"D2";"H0";797;17204;18001;10;1;"Serial";573,466666666667
"...14";"C9A1";"D2";"H0";713;259;1106;2;1;"Mixed";8,63333333333333
"...15";"C9A2";"D2";"H0";60;3884;3944;15;6;"Mixed";129,466666666667
"...16";"C9A3";"D2";"H0";204;616;949;4;8;"Serial";20,5333333333333
"...17";"C3A1";"D3";"H0";1079;15701;17254;2;1;"Mixed";523,366666666667
"...18";"C3A2";"D3";"H0";377;5705;6280;14;5;"Mixed";190,166666666667
"...19";"C3A3";"D3";"H0";1262;14500;16465;9;1;"Serial";483,333333333333
"...20";"C3A4";"D3";"H0";1581;1249;2830;1;2;"Direct";41,6333333333333
"...21";"C4A1";"D3";"H0";344;9326;9692;12;3;"Serial";310,866666666667
"...22";"C4A2";"D3";"H0";522;2779;3361;4;1;"Serial";92,6333333333333
"...23";"C4A3";"D3";"H0";415;10553;11789;8;1;"Mixed";351,766666666667
"...24";"C9A1";"D3";"H0";462;1048;1648;4;1;"Serial";34,9333333333333
"...25";"C9A2";"D3";"H0";92;2806;2898;7;8;"Serial";93,5333333333333
"...26";"C9A3";"D3";"H0";760;3058;3901;17;1;"Serial";101,933333333333
"...27";"C3A1";"D4";"H0";410;8736;9176;2;1;"Mixed";291,2
"...28";"C3A2";"D4";"H0";425;4436;4902;6;2;"Serial";147,866666666667
"...29";"C3A3";"D4";"H0";765;7928;8941;13;2;"Mixed";264,266666666667
"...30";"C3A4";"D4";"H0";318;17502;17990;13;1;"Serial";583,4
"...31";"C4A1";"D4";"H0";368;13789;14321;19;5;"Serial";459,633333333333
"...32";"C4A2";"D4";"H0";223;2607;2858;21;4;"Mixed";86,9
"NA...33";"C4A3";"D4";NA;NA;NA;NA;NA;0;"none";NA
"...34";"C9A1";"D4";"H0";146;649;812;6;1;"Serial";21,6333333333333
"...35";"C9A2";"D4";"H0";68;7490;7558;29;4;"Serial";249,666666666667
"...36";"C9A3";"D4";"H0";611;1264;1894;9;1;"Serial";42,1333333333333
"NA...37";"C3A1";"D5";NA;NA;NA;NA;NA;0;"none";NA
"...38";"C3A2";"D5";"H0";787;11222;12189;8;2;"Serial";374,066666666667
"...39";"C3A3";"D5";"H0";403;13469;13925;15;2;"Mixed";448,966666666667
"...40";"C3A4";"D5";"H0";827;6425;7430;3;3;"Serial";214,166666666667
"...41";"C4A1";"D5";"H0";422;13691;14151;13;1;"Serial";456,366666666667
"...42";"C4A2";"D5";"H0";135;826;961;2;6;"Serial";27,5333333333333
"NA...43";"C4A3";"D5";NA;NA;NA;NA;NA;0;"none";NA
"...44";"C9A1";"D5";"H0";126;353;481;5;1;"Serial";11,7666666666667
"...45";"C9A2";"D5";"H0";45;7422;7467;14;3;"Serial";247,4
"...46";"C9A3";"D5";"H0";202;399;615;2;4;"Serial";13,3
"NA...47";"C3A1";"D7";NA;NA;NA;NA;NA;0;"none";NA
"...48";"C3A2";"D7";"H0";482;2759;3394;2;2;"Mixed";91,9666666666667
"...49";"C3A3";"D7";"H0";1342;4330;6754;4;2;"Serial";144,333333333333
"...50";"C3A4";"D7";"H0";211;4410;4653;10;3;"Serial";147
"...51";"C4A1";"D7";"H0";415;12352;12926;13;3;"Serial";411,733333333333
"...52";"C4A2";"D7";"H0";338;105;673;1;3;"Direct";3,5
"...53";"C4A3";"D7";"H0";563;4054;4700;3;1;"Serial";135,133333333333
"...54";"C9A1";"D7";"H0";323;240;648;3;2;"Serial";8
"...55";"C9A2";"D7";"H0";80;5367;5638;8;4;"Serial";178,9
"...56";"C9A3";"D7";"H0";26;866;892;5;2;"Serial";28,8666666666667
