Short_ID;Genotipo;ATF;Short_ATF;Age;dlg4.Cq1;dlg4.Cq2;dlg4.Cq3;dlg4.mean;gapdh.Cq1;gapdh.Cq2;gapdh.Cq3;gapdh.mean;dCq;ddCq;2^-ddCq;ColorCode
5472;Htt+;HTT+NI;;7;22,47;23,37;22,99;22,94333333;17,79;17,98;17,6;17,79;5,153333333;1,192666667;0,437493453;#994F00
8582;Htt+;HTT+NI;;7;21,93;21,91;21,99;21,94333333;17,2;17,38;17,02;17,2;4,743333333;0,782666667;0,581291345;#994F00
9320;Htt+;HTT+NI;;7;20,6;21,13;20,5;20,74333333;16,16;15,86;15,66;15,89333333;4,85;0,889333333;0,539863531;#994F00
C3A2;Htt+;HTT+NI;;14;21,83;21,86;21,31;21,66666667;16,78;16,67;16,88;16,77666667;4,89;0,78;0,582366793;#994F00
C1A1;Htt+;HTT+NI;;14;21,47;22,02;21,72;21,73666667;17,05;16,82;16,99;16,95333333;4,783333333;0,673333333;0,627056205;#994F00
C3A4;Htt+;HTT+NI;;14;21,38;21,84;21,77;21,66333333;17,04;16,82;17,14;17;4,663333333;0,553333333;0,681443838;#994F00
6747;Htt+;HTT+NI;;14;21,52;21,83;21,64;21,66333333;17,06;17,04;16,99;17,03;4,633333333;0,523333333;0,695762422;#994F00
9714;Htt-;HTT-NI;;7;21,12;20,97;20,9;20,99666667;17,08;17,03;17,04;17,05;3,946666667;-0,014;1,009751298;#0C7BDC
8262;Htt-;HTT-NI;;7;21,35;20,92;20,88;21,05;17,05;17,11;17,31;17,15666667;3,893333333;-0,067333333;1,047778187;#0C7BDC
6386;Htt-;HTT-NI;;7;21,35;21,12;21,17;21,21333333;17,31;17,3;17,35;17,32;3,893333333;-0,067333333;1,047778187;#0C7BDC
1508;Htt-;HTT-NI;;7;21,32;21,39;21,36;21,35666667;17,19;17,54;17,29;17,34;4,016666667;0,056;0,961927455;#0C7BDC
8832;Htt-;HTT-NI;;7;21,41;21,29;21,37;21,35666667;17,21;17,43;17,27;17,30333333;4,053333333;0,092666667;0,937787746;#0C7BDC
8087;Htt-;HTT-NI;;14;21;21,04;22,02;21,35333333;17,38;17,05;17,49;17,30666667;4,046666667;-0,063333333;1,044877153;#0C7BDC
C4A3;Htt-;HTT-NI;;14;21,64;21,65;21,62;21,63666667;17,82;17,52;17,46;17,6;4,036666667;-0,073333333;1,052144848;#0C7BDC
8604;Htt-;HTT-NI;;14;21,25;21,15;21,27;21,22333333;17,06;17,09;17,32;17,15666667;4,066666667;-0,043333333;1,03049202;#0C7BDC
9119;Htt-;HTT-NI;;14;21,38;21,26;21,36;21,33333333;17,23;17,23;17,37;17,27666667;4,056666667;-0,053333333;1,037659659;#0C7BDC
9423;Htt-;HTT-NI;;14;21,83;21,82;21,83;21,82666667;17,67;17,55;17,83;17,68333333;4,143333333;0,033333333;0,977159968;#0C7BDC
2079;Htt-;HTT-NI;;14;21,83;21,81;22,23;21,95666667;17,68;17,48;17,78;17,64666667;4,31;0,2;0,870550563;#0C7BDC
7190;NoED;PSD95-6ZF-NoED;NoED;7;22,37;22,72;23,08;22,72333333;17,27;17,69;17,89;17,61666667;5,106666667;1,146;0,451876363;#E69F00
6362;NoED;PSD95-6ZF-NoED;NoED;7;22,46;23,29;22,5;22,75;17,79;17,94;17,61;17,78;4,97;1,009333333;0,496775754;#E69F00
9163;NoED;PSD95-6ZF-NoED;NoED;7;20,15;19,77;20,06;19,99333333;15,39;15,05;15,7;15,38;4,613333333;0,652666667;0,636103458;#E69F00
9091;NoED;PSD95-6ZF-NoED;NoED;7;20,04;20,84;20,32;20,4;15,82;16,16;15,8;15,92666667;4,473333333;0,512666667;0,700925654;#E69F00
9691;NoED;PSD95-6ZF-NoED;NoED;14;21,38;21,84;21,77;21,66333333;17,04;16,82;17,14;17;4,663333333;0,553333333;0,681443838;#E69F00
C9A2;NoED;PSD95-6ZF-NoED;NoED;14;21,47;22,02;21,72;21,73666667;17,05;16,82;16,99;16,95333333;4,783333333;0,673333333;0,627056205;#E69F00
C4A1;NoED;PSD95-6ZF-NoED;NoED;14;20,39;20,74;20,46;20,53;16;16,12;16,1;16,07333333;4,456666667;0,346666667;0,786398968;#E69F00
6926;VP64;PSD95-6ZF-VP64;VP64;7;20,63;20,56;20,59;20,59333333;16,7;16,84;17,26;16,93333333;3,66;-0,300666667;1,231713454;#009E73
8831;VP64;PSD95-6ZF-VP64;VP64;7;21,13;21,14;21,13;21,13333333;17,34;17,47;17,64;17,48333333;3,65;-0,310666667;1,240280699;#009E73
8966;VP64;PSD95-6ZF-VP64;VP64;7;19,02;19,05;19,6;19,22333333;15,33;15,93;16,1;15,78666667;3,436666667;-0,524;1,437936533;#009E73
8187;VP64;PSD95-6ZF-VP64;VP64;7;20,35;20,39;20,44;20,39333333;16,4;18,7;16,07;17,05666667;3,336666667;-0,624;1,541142217;#009E73
7800;VP64;PSD95-6ZF-VP64;VP64;14;21,5;20,92;20,96;21,12666667;16,48;16,66;16,59;16,57666667;4,55;0,44;0,737134609;#009E73
9416;VP64;PSD95-6ZF-VP64;VP64;14;21,59;21,12;22,01;21,57333333;17,18;17,5;16,88;17,18666667;4,386666667;0,276666667;0,825496117;#009E73
9143;VP64;PSD95-6ZF-VP64;VP64;14;21,69;21,91;22,32;21,97333333;17,35;17,43;17,76;17,51333333;4,46;0,35;0,784584098;#009E73
9548;VP64;PSD95-6ZF-VP64;VP64;14;20,93;20,75;20,65;20,77666667;15,59;15,99;16,12;15,9;4,876666667;0,766666667;0,587773953;#009E73
7223;VP64;PSD95-6ZF-VP64;VP64;14;21,67;21,3;21,94;21,63666667;17,17;17,27;16,95;17,13;4,506666667;0,396666667;0,759611332;#009E73
