ID;date;ATF;Age;conc;PSD95;Actin;Ratio;NorPSD95;NorAct
9614;44795;NI-Htt-;7;1;17675,932;15870,05;1,113791828;1;1
9614;44795;NI-Htt-;7;10;602845,51;87988;6,851451448;34,10544406;5,544279949
9614;44795;NI-Htt-;7;20;934834,67;106045,53;8,815408533;52,88743304;6,682116944
9614;44795;NI-Htt-;7;30;854624,89;95963,74;8,905706364;48,34963667;6,046845473
290219714;44795;NI-Htt-;7;1;14011,972;13053,07;1,073461799;0,792714749;0,822497094
290219714;44795;NI-Htt-;7;10;522541,74;85571,91;6,106463441;29,56233029;5,392037832
290219714;44795;NI-Htt-;7;20;808353,35;95134,42;8,496959881;45,73186579;5,994588549
290219714;44795;NI-Htt-;7;30;861838,82;93352,88;9,232053901;48,75775829;5,882330553
9093;44797;NI-Htt-;7;1;13568,56;12548,22;1,081313525;1;1
9093;44797;NI-Htt-;7;5;327677,15;65467,74;5,005169722;24,1497366;5,217292971
9093;44797;NI-Htt-;7;10;608930,2;83380,14;7,303060417;44,87802685;6,644778303
9093;44797;NI-Htt-;7;15;685010,42;90071,61;7,605175704;50,48512296;7,178038798
9093;44797;NI-Htt-;7;20;899460,37;109834,18;8,189257388;66,29003888;8,752968947
9093;44797;NI-Htt-;7;30;900950,37;99635,18;9,042492521;66,39985157;7,940184345
140722-1;44797;NI-Htt+;7;1;11351;14152,35;0,802057609;1;1
140722-1;44797;NI-Htt+;7;5;161895,74;56034,5;2,889215394;14,26268523;3,959377771
140722-1;44797;NI-Htt+;7;10;354186,73;108043,04;3,278200336;31,20313012;7,634282646
140722-1;44797;NI-Htt+;7;20;595109,27;132751,8;4,482871569;52,4279156;9,380194809
140722-1;44797;NI-Htt+;7;30;570165,67;100049;5,698864257;50,2304352;7,069426632
7WK1;44797;NI-Htt+;7;1;10325,33;12587;0,820316994;1;1
7WK1;44797;NI-Htt+;7;5;131430,2846;52639,43333;2,496802802;12,72891856;4,182047615
7WK1;44797;NI-Htt+;7;10;330523,8;98130,99;3,368189804;32,0109672;7,796217526
7WK1;44797;NI-Htt+;7;20;635507,61;108997,31;5,830488936;61,54840669;8,659514579
7WK1;44797;NI-Htt+;7;30;483036,76;81790;5,905816848;46,7817261;6,4979741
9320;44797;NI-Htt+;7;1;12654,23;14862,55;0,851417153;1;1
9320;44797;NI-Htt+;7;5;167075,3895;57762,81333;2,892438574;13,20312571;3,886467217
9320;44797;NI-Htt+;7;10;385052;93534,97;4,116663532;30,4287183;6,293332571
9320;44797;NI-Htt+;7;20;609802,14;104279,51;5,847765683;48,18958878;7,016259659
9320;44797;NI-Htt+;7;30;491008,2;81473,96;6,026566034;38,8019026;5,481829161
9983;44814;NI-Htt-;14;1;175632;125687,22;1,397373575;1;1
9983;44814;NI-Htt-;14;5;2522981,93;765083,41;3,297656042;14,36516085;6,087201308
9983;44814;NI-Htt-;14;10;8845100,09;943029,45;9,379452667;50,36155194;7,502985984
9983;44814;NI-Htt-;14;15;9805269,89;1017877,15;9,633058262;55,82849304;8,098493626
9983;44814;NI-Htt-;14;20;12415215,58;1132818,00;10,95958537;70,68880147;9,012992729
9983;44814;NI-Htt-;14;30;13485288,58;1162818,00;11,59707588;76,78150098;9,251680481
289838668;;NI-Htt-;14;1;158663;129167,9;1,228346981;1;1
289838668;;NI-Htt-;14;10;7803976,31;967704,11;8,064424062;49,18586129;7,491831252
289838668;;NI-Htt-;14;20;8304366,49;990883,02;8,380773837;52,33965379;7,671279165
289838668;;NI-Htt-;14;30;11503257;1104095;10,41872031;72,50119436;8,547750641
289847139;;NI-Htt-;14;1;147642,53;154481,42;0,955730016;1;1
289847139;;NI-Htt-;14;10;7970911,87;985073,44;8,091693011;53,98791168;6,376646719
289847139;;NI-Htt-;14;20;12095591,76;1270194;9,522633362;81,92484754;8,222309194
289847139;;NI-Htt-;14;30;12600592,52;1184248,22;10,64016167;85,34527632;7,665958922
1407-2;44814;NI-Htt+;14;1;102742,63;124074,26;0,828073687;1;1
1407-2;44814;NI-Htt+;14;5;1890660,62;730407,8067;2,588500017;18,4019099;5,886860068
1407-2;44814;NI-Htt+;14;10;2446153,02;894322,24;2,735203163;23,80854977;7,207959491
1407-2;44814;NI-Htt+;14;15;4545038,81;1009456,88;4,50245959;44,23712737;8,135908931
1407-2;44814;NI-Htt+;14;20;6807463,68;1057444,3;6,437656981;66,25744036;8,522672632
1407-2;;NI-Htt+;14;30;6990702;1150642,19;6,075478599;68,0409096;9,273818679
289838546;;NI-Htt+;14;1;158864,22;115249,33;1,378439423;1;1
289838546;;NI-Htt+;14;5;2850104,51;652079,67;4,370791854;17,94050611;5,657990984
289838546;;NI-Htt+;14;10;3436561,71;751522,87;4,572797246;21,63206863;6,520843722
289838546;;NI-Htt+;14;15;3934445,88;847980,47;4,639783603;24,76609195;7,357790887
289838546;;NI-Htt+;14;20;5098289,56;956675,67;5,329172383;32,09211967;8,300921749
289838546;;NI-Htt+;14;30;6150108,33;980146;6,274685945;38,71298603;8,504570048
287020606;;NI-Htt+;14;1;186139,66;155249,33;1,198972388;1;1
287020606;;NI-Htt+;14;5;2736403,78;817897,51;3,345656083;14,70081003;5,26828367
287020606;;NI-Htt+;14;10;3734075,21;909409,38;4,10604431;20,06061046;5,857734652
287020606;;NI-Htt+;14;15;4595684,86;932009,48;4,930942183;24,6894448;6,003307583
287020606;;NI-Htt+;14;20;6517337,77;992273,67;6,568084962;35,01316039;6,391484395
287020606;;NI-Htt+;14;30;6615018,33;995146;6,647284248;35,53793066;6,409985795
